Countries,Category
France,Good
Sweden,Good
United Kingdom,Good
Cyprus,Good
Morocco,Good
Luxembourg,Good
Malta,Good
Portugal,Good
Belgium,Good
Denmark,Good
Switzerland,Good
Latvia,Good
Italy,Good
Croatia,Good
Romania,Moderate
Lithuania,Moderate
India,Moderate
Ireland,Moderate
Indonesia,Moderate
"Egypt, Arab Rep.",Moderate
Czech Republic,Moderate
Greece,Moderate
Slovak Republic,Moderate
Netherlands,Moderate
Mexico,Moderate
Germany,Moderate
Slovenia,Moderate
Finland,Moderate
South Africa,Moderate
Spain,Moderate
Hungary,Poor
Poland,Poor
Argentina,Poor
Bulgaria,Poor
Norway,Poor
Iceland,Poor
Brazil,Poor
Austria,Poor
Thailand,Poor
United States,Poor
Malaysia,Poor
Ukraine,Poor
New Zealand,Poor
Algeria,Poor
China,Poor
Belarus,Very Poor
Estonia,Very Poor
Turkey,Very Poor
Russian Federation,Very Poor
Singapore,Very Poor
Canada,Very Poor
"Iran, Islamic Rep.",Very Poor
Australia,Very Poor
"Korea, Rep.",Very Poor
Kazakhstan,Very Poor
Japan,Very Poor
Saudi Arabia,Very Poor
